term_id,item_id,label,neg_ratio,sample_seed
TERM_a3d2b3dc,ITEM_40ef834f62b0,0,2,42
TERM_e701fad4,ITEM_930e136818cf,0,2,42
TERM_d168d875,ITEM_c1c5faebe644,0,2,42
TERM_eee13535,ITEM_89ccfe29e362,1,2,42
TERM_399685ce,ITEM_4f616dcebef7,0,2,42
TERM_8908169c,ITEM_cec16df547e2,0,2,42
TERM_1da17a8f,ITEM_e7885c042db1,1,2,42
TERM_aa0b0cab,ITEM_18823e9aaeeb,1,2,42
TERM_513c8668,ITEM_dff8bc79aacc,1,2,42
TERM_1c04f4b0,ITEM_ea7091c91bba,1,2,42
TERM_ed00a6c9,ITEM_f6d4371d82c1,1,2,42
TERM_9b92f828,ITEM_3e9f15bcc01c,1,2,42
TERM_18321a2b,ITEM_a60a3f118f08,0,2,42
TERM_fc6a1e30,ITEM_f4ae5a826f0d,0,2,42
TERM_a6a27e51,ITEM_095262c9d851,0,2,42
TERM_13cae6d6,ITEM_e5e4f7dd1244,0,2,42
TERM_2593cbf6,ITEM_4ae163d12d80,0,2,42
TERM_23b20a55,ITEM_4e15c8fd0595,0,2,42
TERM_aab1dbf0,ITEM_8896ddd02fd6,0,2,42
TERM_073c97fc,ITEM_1e32c2764571,0,2,42
TERM_c1c12693,ITEM_9a9fd75301c2,1,2,42
TERM_b27ae94e,ITEM_83110e919fed,0,2,42
TERM_02bd2acc,ITEM_124691df55e9,1,2,42
TERM_a070b017,ITEM_78702c34fd35,0,2,42
TERM_6349993b,ITEM_8d5659354efc,1,2,42
TERM_d5bfd258,ITEM_2a23e589b396,1,2,42
TERM_c041742c,ITEM_f1d343755fe5,1,2,42
TERM_40b9e806,ITEM_987a0f2f50ba,0,2,42
TERM_04db4ed6,ITEM_bd315ba0dbfe,0,2,42
TERM_40cebd23,ITEM_4fa60ef7c3f8,0,2,42
TERM_b4eafc3a,ITEM_deaab4fa4bfb,1,2,42
TERM_19684b1c,ITEM_23d3d9364617,1,2,42
TERM_993d94f3,ITEM_5f07d3d88428,1,2,42
TERM_29f8a42f,ITEM_6733d70c1737,0,2,42
TERM_59757182,ITEM_c3a35f6fd850,0,2,42
TERM_4a85b17b,ITEM_d24e70db7c14,0,2,42
TERM_49bcf75b,ITEM_3792d54f6948,1,2,42
TERM_f797a1f7,ITEM_93ab454a0ffd,1,2,42
TERM_ec786f8a,ITEM_562fc17b6a10,0,2,42
TERM_4660922c,ITEM_5df6991b4378,0,2,42
